x,y
-1.0,1.0251610159873963
-0.99,1.0529170156478882
-0.98,1.047974541568756
-0.97,1.0037562688827515
-0.96,0.9256435791015625
-0.95,0.9778830075263977
-0.94,0.9658227478027344
-0.93,0.9075420450210573
-0.92,0.858815885925293
-0.91,0.8965838175773622
-0.9,0.8832347249984742
-0.89,0.8627900000572205
-0.88,0.7893494647979736
-0.87,0.8155567997932435
-0.86,0.8324541779518126
-0.85,0.755911395549774
-0.84,0.7223514085769652
-0.83,0.7560230792999267
-0.82,0.6909449242591856
-0.81,0.7323926101684571
-0.8,0.7126038098335268
-0.79,0.6760731283187867
-0.78,0.6508756526947022
-0.77,0.6391723135948181
-0.76,0.5960977650642395
-0.75,0.6328624010086059
-0.74,0.6083659339904784
-0.73,0.6080497983932495
-0.72,0.5734320386886597
-0.71,0.6023715129852295
-0.7,0.5029422783851623
-0.69,0.5434606038093566
-0.68,0.5414259361267091
-0.67,0.5448318518638612
-0.66,0.4629066878318787
-0.65,0.4649684762954712
-0.64,0.412328271484375
-0.63,0.4815988201141358
-0.62,0.4516727704048157
-0.61,0.4291418953895569
-0.6,0.43651184797286985
-0.59,0.38353809652328485
-0.58,0.4256546534538269
-0.57,0.3968047427177429
-0.56,0.36389286146163946
-0.55,0.3310411953926087
-0.54,0.3862460604667664
-0.53,0.3746925934791565
-0.52,0.35094164648056037
-0.51,0.3232204009056091
-0.5,0.27770653963088987
-0.49,0.31772818336486813
-0.48,0.31144947805404666
-0.47,0.2827922114372253
-0.46,0.2770050946235657
-0.45,0.2315242314338684
-0.44,0.28148479566574097
-0.43,0.2537749313354492
-0.42,0.20493789329528805
-0.41,0.1938452845573425
-0.4,0.18368556261062624
-0.39,0.15524652919769288
-0.38,0.24043004455566408
-0.37,0.1456982177734375
-0.36,0.15824078283309936
-0.35,0.2134976601600647
-0.34,0.17354785022735597
-0.33,0.16887821092605593
-0.32,0.1402938674926758
-0.31,0.14640810832977297
-0.3,0.15209826469421386
-0.29,0.1327218810081482
-0.28,0.11386254634857179
-0.27,0.07437428512573242
-0.26,0.1462457061767578
-0.25,0.13941144943237305
-0.24,0.14543042430877684
-0.23,0.1288742259979248
-0.22,0.059872797393798825
-0.21,0.05045544061660766
-0.2,0.08055510759353639
-0.19,0.12474215612411499
-0.18,0.11970993270874024
-0.17,0.05252065315246583
-0.16,0.0502514916419983
-0.15,0.0364371395111084
-0.14,0.03364341459274292
-0.13,0.0795757264137268
-0.12,0.056332153701782225
-0.11,0.1100280710220337
-0.1,0.04166528940200806
-0.09,0.0830063491821289
-0.08,0.09901667728424073
-0.07,0.09062977781295777
-0.06,0.0659551368713379
-0.05,0.07629175424575806
-0.04,0.058130725955963136
-0.03,0.026035767459869387
-0.02,0.08819151439666749
-0.01,0.02432710657119751
0.0,0.09116520881652833
0.01,0.016291089153289796
0.02,0.09229624786376954
0.03,0.0650528844833374
0.04,0.07127297792434693
0.05,0.03127426147460938
0.06,0.05287343130111694
0.07,0.09986217966079712
0.08,0.06004168882369996
0.09,0.060226801013946535
0.1,0.03240030765533448
0.11,0.09038760147094727
0.12,0.025087732696533204
0.13,0.044128951454162596
0.14,0.04124231538772584
0.15,0.023623452186584473
0.16,0.0524052339553833
0.17,0.10025567665100099
0.18,0.09292896976470948
0.19,0.07362292394638062
0.2,0.13116555452346804
0.21,0.08915373239517212
0.22,0.14387321796417235
0.23,0.07591071882247925
0.24,0.10873198757171632
0.25,0.08158109188079835
0.26,0.1163398386001587
0.27,0.13053437747955324
0.28,0.10479284133911135
0.29,0.1500268260002136
0.3,0.1040284776687622
0.31,0.1016484414100647
0.32,0.1670835207939148
0.33,0.20635205640792847
0.34,0.12270270404815677
0.35,0.1873179531097412
0.36,0.14255148134231566
0.37,0.19116808595657347
0.38,0.15512657108306885
0.39,0.21577523670196536
0.4,0.2369164562225342
0.41,0.1927418237686157
0.42,0.27101872577667235
0.43,0.2540199898719787
0.44,0.2894896160125732
0.45,0.2889463448524475
0.46,0.3028094235420227
0.47,0.28558422412872314
0.48,0.31591013469696044
0.49,0.2943617321014404
0.5,0.2533677577972412
0.51,0.3136969972610474
0.52,0.3037341479301453
0.53,0.28764633979797366
0.54,0.33131345424652103
0.55,0.3649112248420716
0.56,0.36432906017303474
0.57,0.3596915053367614
0.58,0.42998134269714355
0.59,0.39802427825927733
0.6,0.37065669059753414
0.61,0.4500552698135376
0.62,0.413318719291687
0.63,0.41444382848739625
0.64,0.47275368413925173
0.65,0.48294778823852547
0.66,0.4520920568466187
0.67,0.4607111968040467
0.68,0.5587102221488953
0.69,0.5147420011520385
0.7,0.561620774269104
0.71,0.5059294811248779
0.72,0.6112110957145691
0.73,0.5399818543434143
0.74,0.5944475580215454
0.75,0.572379982471466
0.76,0.578732869720459
0.77,0.6471550325393677
0.78,0.6833502301216126
0.79,0.7108032289505006
0.8,0.700714089870453
0.81,0.7293685089111329
0.82,0.7482866071701049
0.83,0.7816391767501831
0.84,0.7556667572021484
0.85,0.795704481601715
0.86,0.7661925407409668
0.87,0.8041548484802247
0.88,0.8080440205574035
0.89,0.8484751459121704
0.9,0.8221842026710511
0.91,0.8328114372253419
0.92,0.8811810029983521
0.93,0.9509834598541261
0.94,0.9192663227081298
0.95,1.0021572256088256
0.96,0.9594598570823669
0.97,1.0247045001029969
0.98,1.0351841954231262
0.99,0.9815543056488036
1.0,1.0363244652748107
